GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
0400000US22,22,Louisiana,2250657,14670,1173478,9024,1077179,10072,29486,644,37857,930,22345,348,1487478,13494,836469,10433,651009,9923,2.6,0.2,2.3,0.3,2.9,0.4,5.8,0.3,4,0.4,8.2,0.6,16.8,0.6,11.7,0.6,23.4,1.1,17,0.5,14.3,0.6,20.5,0.8,20.1,0.6,19.1,0.8,21.4,0.9,13.6,0.5,15.4,0.7,11.3,0.7,5.6,0.3,7.2,0.5,3.6,0.3,8.7,0.4,11.5,0.7,5,0.5,9.8,0.4,14.5,0.6,3.6,0.4,(X),(X),48382,1071,31586,338,52300,675,62337,1093,39404,697,33355,864,42480,1050,26115,365,21053,737,27017,1101,14146,967,27446,734,39746,1413,20127,593,31702,404,42302,1048,25649,453,46903,888,60765,1147,40688,586,56644,2085,76780,3116,48818,1452,22.2,(X),(X),(X),(X),(X)
0400000US23,23,Maine,737125,6927,378624,4646,358501,4743,27813,1013,32286,670,24508,784,426694,7541,239826,5225,186868,4803,2.2,0.4,2.2,0.4,2.3,0.6,2.9,0.4,2.4,0.6,3.5,0.6,14.5,0.8,12.1,1.2,17.7,1.1,19.5,0.8,16.3,1,23.6,1.4,22.7,0.9,22,1.2,23.6,1.2,16.4,0.8,18,1.2,14.4,1.1,6.2,0.5,7,0.7,5.1,0.7,7.9,0.6,9.6,0.8,5.8,0.8,7.6,0.7,10.6,1,3.9,0.7,(X),(X),45784,871,36137,685,52500,1586,59963,2563,42921,980,32062,401,37699,1475,27498,845,19375,2172,21986,2425,11858,2769,26240,612,31610,817,21428,784,31134,591,37261,1495,26192,708,40695,1054,51305,1877,35255,1399,54404,2032,66297,6093,48462,4204,14,(X),(X),(X),(X),(X)
0400000US24,24,Maryland,3312199,14312,1680662,9181,1631537,9089,40107,301,45219,493,34280,937,2196275,16949,1203234,10886,993041,11136,1.3,0.1,1.2,0.1,1.5,0.2,2.5,0.2,2.2,0.2,2.9,0.3,9.3,0.3,8.1,0.4,10.7,0.5,13,0.4,11.9,0.5,14.4,0.6,18.2,0.5,17,0.6,19.6,0.7,15.4,0.4,15.1,0.5,15.8,0.5,7.4,0.3,7.4,0.4,7.4,0.3,13.8,0.4,13.8,0.5,13.8,0.5,19.1,0.3,23.3,0.5,13.9,0.5,(X),(X),59085,1320,50481,341,70289,554,77636,848,61387,690,46142,366,51598,317,40729,449,25063,1179,28236,1700,17396,1297,32369,393,37836,1321,27511,832,41041,367,48535,1573,36008,763,59691,2156,70430,1266,50469,707,79623,1949,95670,2401,67177,1364,22.2,(X),(X),(X),(X),(X)
0400000US25,25,Massachusetts,3844256,16951,1948914,11318,1895342,11209,37702,538,45472,549,31444,266,2317505,17533,1308252,12822,1009253,11411,1.2,0.1,1,0.1,1.4,0.2,1.9,0.1,1.5,0.2,2.4,0.2,8.1,0.3,7.1,0.4,9.5,0.5,12.3,0.4,10.2,0.4,14.9,0.7,18.3,0.5,16.4,0.6,20.8,0.6,16.9,0.4,16.7,0.5,17.2,0.6,8,0.2,7.9,0.3,8.1,0.5,13.4,0.4,14.2,0.5,12.3,0.5,19.9,0.3,24.9,0.4,13.3,0.6,(X),(X),61611,341,50459,344,74897,662,84782,1007,62083,836,45809,332,52280,326,38685,840,23801,1249,29255,2017,19147,1150,32137,383,40473,555,25448,548,38355,1059,46778,1024,32387,640,57451,1518,70247,1452,48664,1441,72212,785,91095,973,62294,921,21.9,(X),(X),(X),(X),(X)
0400000US26,26,Michigan,5007623,19476,2598682,12374,2408941,12704,28204,388,35196,300,22266,190,2936508,20522,1683545,13260,1252963,13492,2,0.1,1.5,0.1,2.5,0.2,3.8,0.2,2.9,0.2,4.9,0.3,14,0.3,11.1,0.4,17.9,0.5,16.7,0.3,14.4,0.4,19.8,0.6,20.4,0.3,19.7,0.4,21.3,0.5,15.4,0.3,16,0.4,14.6,0.4,6.8,0.2,7.3,0.3,6.2,0.3,9.9,0.2,12,0.4,7.2,0.3,11.1,0.3,15.1,0.4,5.7,0.3,(X),(X),50157,221,37419,337,56448,416,64119,570,46141,485,34548,440,41780,217,27351,241,18457,1109,22430,1089,13077,987,26372,337,32037,340,20627,340,31332,203,40680,334,25331,351,48731,1188,61353,722,39311,1065,65473,868,80586,1207,56148,975,18.4,(X),(X),(X),(X),(X)
0400000US27,27,Minnesota,3163752,11266,1644180,7201,1519572,8014,33720,533,40477,271,28489,488,1939959,12433,1115753,8476,824206,7924,1.5,0.1,1.4,0.2,1.6,0.2,2.5,0.1,2.2,0.2,2.9,0.2,10.5,0.3,8.5,0.3,13.2,0.5,15.3,0.4,13,0.5,18.3,0.6,22.2,0.4,20.9,0.5,24,0.6,17.3,0.3,18.2,0.5,16.2,0.5,7.1,0.3,7.3,0.3,6.8,0.3,10.5,0.3,11.6,0.3,9,0.4,13.1,0.3,16.8,0.5,8,0.4,(X),(X),51625,242,42066,281,62646,570,70229,943,52381,625,40378,216,46467,421,33225,582,21937,662,25878,877,16995,1182,30858,336,36487,570,24041,524,36338,411,43735,1145,30596,309,51226,304,61303,631,42415,784,66580,893,80370,1989,60967,611,16.5,(X),(X),(X),(X),(X)
0400000US28,28,Mississippi,1357020,11215,699587,8047,657433,7848,26631,341,31645,393,22064,402,882575,10377,487633,7688,394942,8011,2.9,0.3,2.6,0.4,3.3,0.4,5.7,0.5,4,0.5,7.7,0.8,18.9,0.6,15.2,0.9,23.4,1.1,19.7,0.8,17.6,0.9,22.4,1.1,22.1,0.8,22.5,1.1,21.5,1.1,13.4,0.6,15.5,1,10.8,0.7,4.5,0.5,5,0.6,3.9,0.6,6.2,0.5,7.8,0.7,4.2,0.6,6.6,0.4,9.7,0.6,2.9,0.5,(X),(X),40850,501,31465,372,46267,797,53276,1203,37613,822,30933,334,36465,517,25617,453,20301,687,22703,1775,15565,1285,26236,675,31613,679,20172,819,29733,843,37059,877,23586,1039,41004,639,51444,1337,35579,811,50912,959,63078,4797,45976,1846,19.8,(X),(X),(X),(X),(X)
0400000US29,29,Missouri,3142868,16506,1620865,9831,1522003,11837,28875,415,33532,784,24288,452,1971411,16587,1089468,10775,881943,11400,1.9,0.1,1.6,0.2,2.3,0.3,4.2,0.2,3.5,0.3,5.1,0.4,15.5,0.5,12.2,0.6,19.6,0.6,19,0.4,16.4,0.6,22.2,0.6,22.3,0.4,21.3,0.6,23.5,0.6,14.2,0.3,15.5,0.5,12.6,0.5,5.8,0.2,6.9,0.3,4.5,0.3,8.2,0.3,10.2,0.4,5.8,0.3,8.8,0.3,12.3,0.4,4.4,0.3,(X),(X),45611,469,35311,280,52646,566,60492,862,42954,663,33275,471,40177,377,28682,546,20342,649,22690,1194,16734,640,27080,371,31903,407,21322,504,31398,295,38684,1090,26428,449,44221,1405,55392,1564,37186,660,55536,1121,71766,1194,48565,1020,18.6,(X),(X),(X),(X),(X)
0400000US30,30,Montana,562147,5709,300213,3592,261934,4058,25614,485,31519,604,20972,458,326317,6049,193808,4316,132509,4265,3.1,0.5,3.4,0.7,2.7,0.7,4.8,0.6,4.1,0.8,5.8,0.9,16.7,1,12,0.9,23.7,1.9,19.8,1,17,1.4,23.9,1.7,21,1.1,21.9,1.4,19.8,1.5,14.1,1,15.8,1.3,11.7,1.3,5.3,0.6,6.1,0.8,4,0.8,7.7,0.7,9.8,1.1,4.7,0.9,7.5,0.6,10,0.9,3.7,0.6,(X),(X),42679,1615,31696,482,48410,814,54488,1264,39520,918,30731,406,37334,1014,24241,902,20119,4096,24256,3000,13353,1379,25751,833,31807,977,20106,1099,28274,1194,36526,1360,22079,821,37487,2162,46526,2187,31197,1058,50584,1418,60034,6518,45027,4092,20.7,(X),(X),(X),(X),(X)
0400000US31,31,Nebraska,1085266,5820,570748,3947,514518,4338,30041,377,35592,511,24139,535,710370,6284,412068,4594,298302,4587,1.9,0.2,1.6,0.3,2.3,0.3,3.8,0.4,2.8,0.3,5.1,0.6,15.6,0.6,12.4,0.8,19.8,0.9,19.6,0.7,17.4,0.8,22.5,1,23.1,0.6,22.2,0.8,24.3,0.9,15.2,0.6,16.7,0.7,13.2,0.8,5.3,0.3,6.2,0.4,4,0.5,7.6,0.4,9.4,0.6,5.2,0.6,8.1,0.4,11.3,0.6,3.6,0.4,(X),(X),44533,1129,35101,591,51036,700,57832,1131,41649,782,35066,465,41185,406,28606,759,22122,847,24540,1036,17215,2010,28617,1011,35060,1414,21996,546,32312,462,41305,627,26380,569,43402,1466,53189,2683,36896,602,56915,1266,70410,2401,51437,1138,17.7,(X),(X),(X),(X),(X)
